"Brand","Brand ID","Month and Year","Affiliate","Impressions","Clicks","Signups","NDC","fdt","Net Revenue","Earnings"
"Betboo","2","Feb-24","CAGLA06","0","5","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","medyashop","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","lospollos","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","testuser","0","0","1,274","551","530","-€ 69,903.59","€ 0.00"
"Betboo","2","Mar-24","weblight0024","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","kibriscasino","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","dreamydell","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","casino100","0","13","1","1","1","-€ 467.24","€ 0.00"
"Betboo","2","Mar-24","Peacefrog","0","7","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","3022","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","3048","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","77","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","fcbet","605","311","0","0","0","€ 1,064.72","€ 100.00"
"Betboo","2","Mar-24","macsonuclarinet","12","462","6","1","1","€ 74.63","€ 22.39"
"Betboo","2","Mar-24","casinoklavuzu","1,679","739","1","0","0","€ 3,389.63","€ 1,355.85"
"Betboo","2","Mar-24","casinobahis","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","iddaliyim","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","cassid","0","4","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","casinovi","0","6","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","blogs77","1","81","0","0","0","€ 9.05","€ 2.72"
"Betboo","2","Mar-24","ocrloung","0","11","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","hgjeap65","0","0","289","202","198","€ 121,191.77","€ 0.00"
"Betboo","2","Mar-24","ghred45","0","0","1","1","1","€ 16.00","€ 4.80"
"Betboo","2","Mar-24","devfat","8","2,999","12","6","5","€ 1,029.40","€ 558.82"
"Betboo","2","Mar-24","master7","0","21","0","0","0","€ 811.19","€ 365.04"
"Betboo","2","Mar-24","tahminetor","0","86","2","2","1","€ 821.39","€ 246.42"
"Betboo","2","Mar-24","mickey417","0","4","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","aricansukru","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","casinobahis2","0","2,699","206","30","29","-€ 3,006.10","€ 580.00"
"Betboo","2","Mar-24","oclive","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","OCSpiegelDE","2","3","0","0","0","€ 0.00","€ 0.00"
